Territorio;Sexo;Modalidad;Titularidad del centro;Valor
España;Total;Total;Total;413169
Andalucía;Total;Total;Total;69757
Aragón;Total;Total;Total;11493
Asturias, Principado de;Total;Total;Total;9181
Balears, Illes;Total;Total;Total;6181
Canarias;Total;Total;Total;21240
Cantabria;Total;Total;Total;6347
Castilla y León;Total;Total;Total;19274
Castilla-La Mancha;Total;Total;Total;16709
Cataluña;Total;Total;Total;79635
Comunitat Valenciana;Total;Total;Total;44197
Extremadura;Total;Total;Total;26993
Galicia;Total;Total;Total;25397
Madrid, Comunidad de;Total;Total;Total;51004
Murcia, Región de;Total;Total;Total;12374
Navarra, Comunidad Foral de;Total;Total;Total;4944
País Vasco;Total;Total;Total;22093
Rioja, La;Total;Total;Total;2982
Ceuta;Total;Total;Total;942
Melilla;Total;Total;Total;852
España;Total;Total;Centros públicos;292191
Andalucía;Total;Total;Centros públicos;48646
Aragón;Total;Total;Centros públicos;8625
Asturias, Principado de;Total;Total;Centros públicos;7692
Balears, Illes;Total;Total;Centros públicos;5189
Canarias;Total;Total;Centros públicos;18531
Cantabria;Total;Total;Centros públicos;4737
Castilla y León;Total;Total;Centros públicos;14770
Castilla-La Mancha;Total;Total;Centros públicos;15074
Cataluña;Total;Total;Centros públicos;46072
Comunitat Valenciana;Total;Total;Centros públicos;34516
Extremadura;Total;Total;Centros públicos;19118
Galicia;Total;Total;Centros públicos;21618
Madrid, Comunidad de;Total;Total;Centros públicos;29390
Murcia, Región de;Total;Total;Centros públicos;9291
Navarra, Comunidad Foral de;Total;Total;Centros públicos;3731
País Vasco;Total;Total;Centros públicos;12451
Rioja, La;Total;Total;Centros públicos;2513
Ceuta;Total;Total;Centros públicos;942
Melilla;Total;Total;Centros públicos;852
España;Total;Total;Centros privados;120978
Andalucía;Total;Total;Centros privados;21111
Aragón;Total;Total;Centros privados;2868
Asturias, Principado de;Total;Total;Centros privados;1489
Balears, Illes;Total;Total;Centros privados;992
Canarias;Total;Total;Centros privados;2709
Cantabria;Total;Total;Centros privados;1610
Castilla y León;Total;Total;Centros privados;4504
Castilla-La Mancha;Total;Total;Centros privados;1635
Cataluña;Total;Total;Centros privados;33563
Comunitat Valenciana;Total;Total;Centros privados;9681
Extremadura;Total;Total;Centros privados;7875
Galicia;Total;Total;Centros privados;3779
Madrid, Comunidad de;Total;Total;Centros privados;21614
Murcia, Región de;Total;Total;Centros privados;3083
Navarra, Comunidad Foral de;Total;Total;Centros privados;1213
País Vasco;Total;Total;Centros privados;9642
Rioja, La;Total;Total;Centros privados;469
Ceuta;Total;Total;Centros privados;0
Melilla;Total;Total;Centros privados;0
España;Total;Presencial;Total;353235
Andalucía;Total;Presencial;Total;62378
Aragón;Total;Presencial;Total;9504
Asturias, Principado de;Total;Presencial;Total;7365
Balears, Illes;Total;Presencial;Total;5186
Canarias;Total;Presencial;Total;15019
Cantabria;Total;Presencial;Total;4361
Castilla y León;Total;Presencial;Total;16966
Castilla-La Mancha;Total;Presencial;Total;13289
Cataluña;Total;Presencial;Total;61261
Comunitat Valenciana;Total;Presencial;Total;43513
Extremadura;Total;Presencial;Total;26309
Galicia;Total;Presencial;Total;22095
