Territorio;Nivel educativo;Sexo;Titularidad del centro;Curso;Valor
España;FP Grado Medio;Total;Todos los centros;2016-2017;7422
España;FP Grado Medio;Total;Todos los centros;2017-2018;8113
España;FP Grado Medio;Total;Todos los centros;2018-2019;9428
España;FP Grado Medio;Total;Centros privados;2016-2017;2239
España;FP Grado Medio;Total;Centros privados;2017-2018;2384
España;FP Grado Medio;Total;Centros privados;2018-2019;2816
España;FP Grado Medio;Total;Centros públicos;2016-2017;5183
España;FP Grado Medio;Total;Centros públicos;2017-2018;5729
España;FP Grado Medio;Total;Centros públicos;2018-2019;6612
España;FP Grado Medio;Hombres;Todos los centros;2016-2017;4717
España;FP Grado Medio;Hombres;Todos los centros;2017-2018;5150
España;FP Grado Medio;Hombres;Todos los centros;2018-2019;6049
España;FP Grado Medio;Hombres;Centros privados;2016-2017;1433
España;FP Grado Medio;Hombres;Centros privados;2017-2018;1409
España;FP Grado Medio;Hombres;Centros privados;2018-2019;1722
España;FP Grado Medio;Hombres;Centros públicos;2016-2017;3284
España;FP Grado Medio;Hombres;Centros públicos;2017-2018;3741
España;FP Grado Medio;Hombres;Centros públicos;2018-2019;4327
España;FP Grado Medio;Mujeres;Todos los centros;2016-2017;2705
España;FP Grado Medio;Mujeres;Todos los centros;2017-2018;2963
España;FP Grado Medio;Mujeres;Todos los centros;2018-2019;3379
España;FP Grado Medio;Mujeres;Centros privados;2016-2017;806
España;FP Grado Medio;Mujeres;Centros privados;2017-2018;975
España;FP Grado Medio;Mujeres;Centros privados;2018-2019;1094
España;FP Grado Medio;Mujeres;Centros públicos;2016-2017;1899
España;FP Grado Medio;Mujeres;Centros públicos;2017-2018;1988
España;FP Grado Medio;Mujeres;Centros públicos;2018-2019;2285
España;FP Básica;Total;Todos los centros;2016-2017;414
España;FP Básica;Total;Todos los centros;2017-2018;372
España;FP Básica;Total;Todos los centros;2018-2019;512
España;FP Básica;Total;Centros privados;2016-2017;241
España;FP Básica;Total;Centros privados;2017-2018;156
España;FP Básica;Total;Centros privados;2018-2019;263
