Territorio;Nivel educativo;Sexo;Titularidad del centro;Año/Curso;value
España;FP Básica;Mujeres;Centros privados;2018-2019;26
España;Total FP;Hombres;Todos los centros;2016-2017;12457
España;FP Básica;Mujeres;Centros públicos;2018-2019;49
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;3454
España;FP Grado Superior;Hombres;Centros privados;2017-2018;2446
España;FP Grado Medio;Mujeres;Centros privados;2016-2017;806
España;Total FP;Mujeres;Todos los centros;2017-2018;8695
España;Total FP;Hombres;Todos los centros;2018-2019;16279
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;4318
España;FP Grado Medio;Mujeres;Todos los centros;2017-2018;2963
España;FP Básica;Mujeres;Todos los centros;2018-2019;75
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;2779
España;Total FP;Hombres;Centros privados;2016-2017;3827
España;Total FP;Mujeres;Centros privados;2017-2018;2582
España;FP Grado Medio;Hombres;Centros públicos;2017-2018;3741
España;Total FP;Total;Centros públicos;2018-2019;18782
España;FP Grado Superior;Hombres;Todos los centros;2017-2018;8463
España;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;6486
España;FP Grado Superior;Total;Todos los centros;2018-2019;16400
España;FP Grado Medio;Mujeres;Todos los centros;2016-2017;2705
España;Total FP;Mujeres;Centros públicos;2016-2017;5724
España;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;8485
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;2555
España;Total FP;Total;Todos los centros;2017-2018;22616
España;Total FP;Total;Todos los centros;2018-2019;26340
España;FP Grado Superior;Hombres;Centros públicos;2017-2018;6017
España;Total FP;Total;Centros públicos;2017-2018;16050
España;FP Grado Superior;Mujeres;Centros públicos;2017-2018;4088
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;14181
España;Total FP;Hombres;Centros públicos;2017-2018;9937
España;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;3419
España;FP Básica;Mujeres;Centros privados;2017-2018;27
España;FP Grado Superior;Total;Todos los centros;2017-2018;14131
