Territorio;Titularidad del centro;Sexo;Curso escolar;Nivel educativo;Modalidad;Valor
Aragón;Centros privados;Total;2015-2016;Básico;Presencial;815
Aragón;Centros privados;Total;2015-2016;Medio;Distancia;0
Aragón;Centros privados;Total;2015-2016;Medio;Presencial;1847
Aragón;Centros privados;Total;2015-2016;Superior;Distancia;0
Aragón;Centros privados;Total;2015-2016;Superior;Presencial;3340
Aragón;Centros privados;Total;2016-2017;Básico;Presencial;1025
Aragón;Centros privados;Total;2016-2017;Medio;Distancia;0
Aragón;Centros privados;Total;2016-2017;Medio;Presencial;1927
Aragón;Centros privados;Total;2016-2017;Superior;Distancia;0
Aragón;Centros privados;Total;2016-2017;Superior;Presencial;3533
Aragón;Centros privados;Total;2017-2018;Básico;Presencial;1106
Aragón;Centros privados;Total;2017-2018;Medio;Distancia;0
Aragón;Centros privados;Total;2017-2018;Medio;Presencial;2038
Aragón;Centros privados;Total;2017-2018;Superior;Distancia;0
Aragón;Centros privados;Total;2017-2018;Superior;Presencial;3878
Aragón;Centros privados;Hombres;2015-2016;Básico;Presencial;572
Aragón;Centros privados;Hombres;2015-2016;Medio;Distancia;0
Aragón;Centros privados;Hombres;2015-2016;Medio;Presencial;1019
Aragón;Centros privados;Hombres;2015-2016;Superior;Distancia;0
Aragón;Centros privados;Hombres;2015-2016;Superior;Presencial;1939
Aragón;Centros privados;Hombres;2016-2017;Básico;Presencial;721
Aragón;Centros privados;Hombres;2016-2017;Medio;Distancia;0
Aragón;Centros privados;Hombres;2016-2017;Medio;Presencial;1123
Aragón;Centros privados;Hombres;2016-2017;Superior;Distancia;0
Aragón;Centros privados;Hombres;2016-2017;Superior;Presencial;2093
Aragón;Centros privados;Hombres;2017-2018;Básico;Presencial;766
Aragón;Centros privados;Hombres;2017-2018;Medio;Distancia;0
Aragón;Centros privados;Hombres;2017-2018;Medio;Presencial;1204
Aragón;Centros privados;Hombres;2017-2018;Superior;Distancia;0
Aragón;Centros privados;Hombres;2017-2018;Superior;Presencial;2392
Aragón;Centros privados;Mujeres;2015-2016;Básico;Presencial;243
Aragón;Centros privados;Mujeres;2015-2016;Medio;Distancia;0
Aragón;Centros privados;Mujeres;2015-2016;Medio;Presencial;828
Aragón;Centros privados;Mujeres;2015-2016;Superior;Distancia;0
Aragón;Centros privados;Mujeres;2015-2016;Superior;Presencial;1401
Aragón;Centros privados;Mujeres;2016-2017;Básico;Presencial;304
Aragón;Centros privados;Mujeres;2016-2017;Medio;Distancia;0
Aragón;Centros privados;Mujeres;2016-2017;Medio;Presencial;804
Aragón;Centros privados;Mujeres;2016-2017;Superior;Distancia;0
Aragón;Centros privados;Mujeres;2016-2017;Superior;Presencial;1440
Aragón;Centros privados;Mujeres;2017-2018;Básico;Presencial;340
Aragón;Centros privados;Mujeres;2017-2018;Medio;Distancia;0
Aragón;Centros privados;Mujeres;2017-2018;Medio;Presencial;834
Aragón;Centros privados;Mujeres;2017-2018;Superior;Distancia;0
Aragón;Centros privados;Mujeres;2017-2018;Superior;Presencial;1486
Aragón;Centros públicos;Total;2015-2016;Básico;Presencial;329
Aragón;Centros públicos;Total;2015-2016;Medio;Distancia;43
Aragón;Centros públicos;Total;2015-2016;Medio;Presencial;2711
Aragón;Centros públicos;Total;2015-2016;Superior;Distancia;51
Aragón;Centros públicos;Total;2015-2016;Superior;Presencial;3739
Aragón;Centros públicos;Total;2016-2017;Básico;Presencial;355
Aragón;Centros públicos;Total;2016-2017;Medio;Distancia;67
